John,Doe,555-1234,john.doe@example.com
Jane,Smith,555-5678,jane.smith@example.com
Alice,Brown,555-8765,alice.brown@example.com
Bob,Johnson,555-4321,bob.johnson@example.com
Charlie,Wilson,555-2345,charlie.wilson@example.com
Diana,Clark,555-3456,diana.clark@example.com
Ethan,White,555-4567,ethan.white@example.com
Fiona,Green,555-6789,fiona.green@example.com
George,Hall,555-7890,george.hall@example.com
Hannah,Lopez,555-8901,hannah.lopez@example.com
Ian,Martin,555-9012,ian.martin@example.com
Julia,Anderson,555-0123,julia.anderson@example.com 
